HP:0000002	Abnormality of body height	身高异常
HP:0000070	Ureterocele	输尿管囊肿
HP:0000071	Ureteral stenosis	输尿管狭窄
HP:0000072	Hydroureter	输尿管积水
HP:0000073	Ureteral duplication	输尿管重复
HP:0000074	Ureteropelvic junction obstruction	肾盂输尿管连接部梗阻
HP:0000075	Renal duplication	肾重复
HP:0000076	Vesicoureteral reflux	膀胱输尿管返流
HP:0000077	Abnormality of the kidney	肾脏异常
HP:0000078	Abnormality of the genital system	生殖系统异常
HP:0000079	Abnormality of the urinary system	泌尿系统异常
HP:0000080	Abnormality of genital physiology	生殖生理异常
HP:0000081	Duplicated collecting system	集合管系统重复
HP:0000083	Renal insufficiency	肾功能不全
HP:0000085	Horseshoe kidney	马蹄肾
HP:0000086	Ectopic kidney	异位肾
HP:0000089	Renal hypoplasia	肾发育不良
HP:0000090	Nephronophthisis	肾消耗病
HP:0000091	Abnormality of the renal tubule	肾小管异常
HP:0000092	Tubular atrophy	肾小管萎缩
HP:0000093	Proteinuria	蛋白尿
HP:0000095	Abnormality of the glomerulus	肾小球异常
HP:0000096	Glomerulosclerosis	肾小球硬化
HP:0000097	Focal segmental glomerulosclerosis	局灶节段性肾小球硬化
HP:0000098	Tall stature	高身材
HP:0000099	Glomerulonephritis	肾小球肾炎
HP:0000100	Nephrotic syndrome	肾病综合征
HP:0000103	Polyuria	多尿
HP:0000104	Renal agenesis	肾缺如
HP:0000105	Enlarged kidneys	肾脏增大
HP:0000107	Renal cyst	肾囊肿
HP:0000108	Renal corticomedullary cysts	肾皮髓质交界处囊肿
HP:0000110	Renal dysplasia	肾发育不良
HP:0000111	Renal juxtaglomerular cell hypertrophy/hyperplasia	肾小球球旁细胞肥大/增生
HP:0000112	Nephropathy	肾病
HP:0000113	Polycystic kidney dysplasia	多囊性肾发育不良
HP:0000114	Proximal tubulopathy	近端肾小管病
HP:0000117	Renal phosphate wasting	肾源性磷酸盐流失
HP:0000119	Abnormality of the genitourinary system	泌尿生殖系统异常
HP:0000121	Nephrocalcinosis	肾钙质沉着症
HP:0000122	Unilateral renal agenesis	单侧肾缺如
HP:0000123	Nephritis	肾炎
HP:0000124	Renal tubular dysfunction	肾小管功能障碍
HP:0000125	Pelvic kidney	盆腔肾
HP:0000126	Hydronephrosis	肾积水
HP:0000127	Renal salt wasting	肾源性盐流失
HP:0000128	Renal potassium wasting	肾源性钾流失
HP:0000130	Abnormality of the uterus	子宫异常
HP:0000131	Uterine leiomyoma	子宫肌瘤
HP:0000132	Menorrhagia	月经过多症
HP:0000133	Gonadal dysgenesis	性腺发育不全
HP:0000134	Female hypogonadism	女性性腺功能减退症
HP:0000135	Hypogonadism	性腺功能减退症
HP:0000136	Bifid uterus	双角子宫
HP:0000137	Abnormality of the ovary	卵巢异常
HP:0000138	Ovarian cyst	卵巢囊肿
HP:0000139	Uterine prolapse	子宫脱垂
HP:0000140	Abnormality of the menstrual cycle	月经周期异常
HP:0000141	Amenorrhea	闭经
HP:0000142	Abnormality of the vagina	阴道异常
HP:0000143	Rectovaginal fistula	直肠阴道瘘
HP:0000144	Decreased fertility	生育能力下降
HP:0000145	Transverse vaginal septum	阴道横膈
HP:0000147	Polycystic ovaries	多囊卵巢
HP:0000148	Vaginal atresia	阴道闭锁
HP:0000149	Ovarian gonadoblastoma	卵巢性腺母细胞瘤
HP:0000150	Gonadoblastoma	性腺母细胞瘤
HP:0000151	aplasia of the uterus	子宫发育不全
HP:0000152	Abnormality of head and neck	头部和颈部的异常
HP:0000153	Abnormality of the mouth	嘴部异常
HP:0000154	Wide mouth	宽嘴
HP:0000155	Oral ulcer	口腔溃疡
HP:0000157	Abnormality of the tongue	舌异常
HP:0000158	Macroglossia	巨舌症
HP:0000159	Abnormality of the lip	唇异常
HP:0000160	Narrow mouth	嘴巴狭窄
HP:0000161	Median cleft lip	正中唇裂
HP:0000162	Glossoptosis	舌后坠
HP:0000163	Abnormality of the oral cavity	口腔异常
HP:0000164	Abnormality of the teeth	牙齿异常
HP:0000166	Severe periodontitis	重度牙周炎
HP:0000168	Abnormality of the gingiva	牙龈异常
HP:0000169	Gingival fibromatosis	牙龈纤维瘤病
HP:0000171	Microglossia	小舌畸形
HP:0000172	Abnormality of the uvula	悬雍垂异常
HP:0000174	Abnormality of the palate	腭异常
HP:0000175	Cleft palate	腭裂
HP:0000176	Submucous cleft hard palate	黏膜下硬裂腭
HP:0000177	Abnormality of upper lip	上唇异常
HP:0000178	Abnormality of lower lip	下唇异常
HP:0000179	Thick lower lip vermilion	厚下唇
HP:0000180	Lobulated tongue	分叶舌
HP:0000182	Movement abnormality of the tongue	舌头运动异常
HP:0000183	Difficulty in tongue movements	舌活动困难
HP:0000185	Cleft soft palate	软腭裂
HP:0000187	Broad alveolar ridges	宽牙槽嵴
HP:0000188	Short upper lip	上唇短小
HP:0000189	Narrow palate	上腭狭窄
HP:0000190	Abnormality of oral frenula	口腔系带异常
HP:0000191	Accessory oral frenulum	附加口腔系带
HP:0000193	Bifid uvula	双歧悬雍垂
HP:0000194	Open mouth	张口
HP:0000196	Lower lip pit	下唇凹陷
HP:0000197	Abnormality of parotid gland	腮腺异常
HP:0000198	Absence of Stensen duct	无腮腺导管
HP:0000199	Tongue nodules	舌结节
HP:0000200	Short lingual frenulum	舌系带过短
HP:0000201	Pierre-Robin sequence	皮埃尔 - 罗宾序列
HP:0000202	Oral cleft	口裂
HP:0000204	Cleft upper lip	上唇裂
HP:0000205	Pursed lips	钱包状嘴唇
HP:0000206	Glossitis	舌炎
HP:0000207	Triangular mouth	三角嘴
HP:0000211	Trismus	牙关紧闭
HP:0000212	Gingival overgrowth	牙龈增生
HP:0000214	Lip telangiectasia	唇部毛细血管扩张
HP:0000215	Thick upper lip vermilion	厚上唇红
HP:0000216	Broad secondary alveolar ridge	宽恒牙槽嵴
HP:0000217	Xerostomia	口腔干燥
HP:0000218	High palate	高腭
HP:0000219	Thin upper lip vermilion	薄上唇红
HP:0000220	Velopharyngeal insufficiency	腭咽机能不全
HP:0000221	Furrowed tongue	沟裂舌
HP:0000222	Gingival hyperkeratosis	牙龈角化过度
HP:0000223	Abnormality of taste sensation	味觉异常
HP:0000224	Decreased taste sensation	味觉减退
HP:0000225	Gingival bleeding	牙龈出血
HP:0000227	Tongue telangiectasia	舌毛细血管扩张
HP:0000228	Oral cavity teleangiectasia	口腔毛细管扩张
HP:0000230	Gingivitis	牙龈炎
HP:0000232	Everted lower lip vermilion	下唇唇红外翻
HP:0000233	Thin vermilion border	薄嘴唇
HP:0000234	Abnormality of the head	头部异常
HP:0000235	Abnormality of the fontanelles and cranial sutures	囟门和颅缝的异常
HP:0000236	Abnormality of the anterior fontanelle	前囟异常
HP:0000237	Small anterior fontanelle	小前囟
HP:0000238	Hydrocephalus	脑积水
HP:0000239	Large fontanelles	大囟门
HP:0000240	Abnormality of skull size	颅骨的大小异常
HP:0000242	Parietal bossing	顶骨隆起
HP:0000243	Trigonocephaly	三角头畸形
HP:0000244	Brachyturricephaly	短尖头畸形
HP:0000245	Abnormality of the sinuses	鼻窦异常
HP:0000246	Sinusitis	鼻窦炎
HP:0000248	Brachycephaly	短头畸形
HP:0000250	Dense calvaria	颅盖骨密度过高
HP:0000252	Microcephaly	小头畸形
HP:0000253	Progressive microcephaly	渐进性小头畸形
HP:0000255	Acute sinusitis	急性鼻窦炎
HP:0000256	Macrocephaly	巨头畸形
HP:0000260	Wide anterior fontanel	前囟增宽
HP:0000262	Turricephaly	尖头畸形
HP:0000263	Oxycephaly	尖头畸形
HP:0000264	Abnormality of the mastoid	乳突异常
HP:0000265	Mastoiditis	乳突炎
HP:0000267	Cranial asymmetry	颅骨不对称
HP:0000268	Dolichocephaly	长头畸形
HP:0000269	Prominent occiput	枕骨突出
HP:0000270	Delayed cranial suture closure	颅缝闭合延迟
HP:0000271	Abnormality of the face	脸部异常
HP:0000272	Malar flattening	扁平颧突
HP:0000273	Facial grimacing	面部表情痛苦
HP:0000274	Small face	小脸
HP:0000275	Narrow face	脸狭窄
HP:0000276	Long face	长脸
HP:0000277	Abnormality of the mandible	下颌骨异常
HP:0000278	Retrognathia	下颌后缩
HP:0000280	Coarse facial features	面容粗糙
HP:0000282	Facial edema	面部水肿
HP:0000283	Broad face	宽脸
HP:0000284	Abnormality of the ocular region	眼部异常
HP:0000286	Epicanthus	内眦赘皮
HP:0000287	Increased facial adipose tissue	面部脂肪组织增多
HP:0000288	Abnormality of the philtrum	人中异常
HP:0000289	Broad philtrum	宽人中
HP:0000290	Abnormality of the forehead	前额异常
HP:0000291	Abnormality of facial adipose tissue	面部脂肪组织异常
HP:0000292	Loss of facial adipose tissue	面部脂肪组织丢失
HP:0000293	Full cheeks	脸颊丰满
HP:0000294	Low anterior hairline	前发际低
HP:0000295	Doll-like facies	娃娃脸
HP:0000297	Facial hypotonia	面部肌张力低下
HP:0000298	Mask-like facies	面具般面容
HP:0000300	Oval face	卵形脸
HP:0000301	Abnormality of facial musculature	面部肌肉异常
HP:0000303	Mandibular prognathia	下颌前突
HP:0000306	Abnormality of the chin	下巴异常
HP:0000307	Pointed chin	尖下巴
HP:0000308	Microretrognathia	小下颌后移
HP:0000309	Abnormality of the midface	面中部异常
HP:0000311	Round face	圆脸
HP:0000315	Abnormality of the orbital region	眼眶区异常
HP:0000316	Hypertelorism	眼距过宽
HP:0000317	Facial myokymia	面肌颤搐
HP:0000319	Smooth philtrum	人中扁平
HP:0000320	Bird-like facies	鸟样相脸
HP:0000321	Square face	方脸
HP:0000322	Short philtrum	人中短
HP:0000324	Facial asymmetry	面部不对称
HP:0000325	Triangular face	三角脸
HP:0000326	Abnormality of the maxilla	上颌骨异常
HP:0000327	Hypoplasia of the maxilla	上颌骨发育不全
HP:0000329	Facial hemangioma	面部血管瘤
HP:0000331	Short chin	短下巴
HP:0000336	Prominent supraorbital ridges	眶上脊突出
HP:0000337	Broad forehead	宽前额
HP:0000338	Hypomimic face	面具面容
HP:0000339	Pugilistic facies	拳击面容
HP:0000340	Sloping forehead	额头倾斜
HP:0000341	Narrow forehead	额头狭窄
HP:0000343	Long philtrum	长人中
HP:0000346	Whistling appearance	吹口哨面容
HP:0000347	Micrognathia	小下颌畸形
HP:0000348	High forehead	额头高
HP:0000349	Widow's peak	美人尖
HP:0000350	Small forehead	小额头
HP:0000356	Abnormality of the outer ear	外耳异常
HP:0000357	Abnormal location of ears	耳位异常
HP:0000358	Posteriorly rotated ears	后旋耳
HP:0000359	Abnormality of the inner ear	内耳异常
HP:0000360	Tinnitus	耳鸣
HP:0000361	Pulsatile tinnitus (tympanic paraganglioma)	搏动性耳鸣（鼓室副神经节瘤）
HP:0000362	Otosclerosis	耳硬化症
HP:0000363	Abnormality of earlobe	耳垂异常
HP:0000364	Hearing abnormality	听力异常
HP:0000365	Hearing impairment	听力障碍
HP:0000366	Abnormality of the nose	鼻异常
HP:0000368	Low-set, posteriorly rotated ears	低位后旋转耳
HP:0000369	Low-set ears	低位耳
HP:0000370	Abnormality of the middle ear	中耳异常
HP:0000371	Acute otitis media	急性中耳炎
HP:0000372	Abnormality of the auditory canal	耳道异常
HP:0000375	Abnormality of cochlea	耳蜗异常
HP:0000376	Incomplete partition of the cochlea type II	II型耳蜗分隔不全
HP:0000377	Abnormality of the pinna	耳廓异常
HP:0000378	Cupped ear	杯状耳
HP:0000381	Stapes ankylosis	镫骨固定
HP:0000383	Abnormality of periauricular region	耳廓周异常
HP:0000384	Preauricular skin tag	耳前皮赘
HP:0000385	Small earlobe	小耳垂
HP:0000387	Absent earlobe	耳垂缺失
HP:0000388	Otitis media	中耳炎
HP:0000389	Chronic otitis media	慢性中耳炎
HP:0000391	Thickened helices	耳轮增厚
HP:0000394	Lop ear	罗布泊耳
HP:0000395	Prominent antihelix	对耳轮突出
HP:0000396	Overfolded helix	耳轮过度卷曲
HP:0000399	Prelingual sensorineural hearing impairment	学语前感音神经性听力损失
HP:0000400	Macrotia	巨耳畸形
HP:0000402	Stenosis of the external auditory canal	外耳道狭窄
HP:0000403	Recurrent otitis media	反复发作型中耳炎
HP:0000405	Conductive hearing impairment	传导性听力障碍
HP:0000407	Sensorineural hearing impairment	感音神经性耳聋
HP:0000408	Progressive sensorineural hearing impairment	渐进性感音神经性听力损失
HP:0000410	Mixed hearing impairment	混合性听力损失
HP:0000411	Protruding ear	招风耳
HP:0000413	Atresia of the external auditory canal	外耳道闭锁
HP:0000414	Bulbous nose	蒜头鼻
HP:0000415	Abnormality of the choanae	鼻后孔的异常
HP:0000417	Slender nose	鼻子细长
HP:0000418	Narrow nasal ridge	鼻脊狭窄
HP:0000419	Abnormality of the nasal septum	鼻中隔异常
HP:0000420	Short nasal septum	鼻中隔短小
HP:0000421	Epistaxis	鼻衄
HP:0000422	Abnormality of the nasal bridge	鼻梁异常
HP:0000426	Prominent nasal bridge	鼻梁突出
HP:0000429	Abnormality of the nasal alae	鼻翼异常
HP:0000430	Underdeveloped nasal alae	鼻翼发育不全
HP:0000431	Wide nasal bridge	宽鼻梁
HP:0000433	Abnormality of the nasal mucosa	鼻粘膜异常
HP:0000434	Nasal mucosa telangiectasia	鼻粘膜毛细血管扩张
HP:0000436	Abnormality of the nasal tip	鼻尖异常
HP:0000437	Depressed nasal tip	鼻尖凹陷
HP:0000444	Convex nasal ridge	凸鼻嵴
HP:0000445	Wide nose	宽鼻
HP:0000446	Narrow nasal bridge	鼻梁狭窄
HP:0000447	Pear-shaped nose	梨形鼻
HP:0000448	Prominent nose	鼻子突出
HP:0000451	Triangular nasal tip	三角鼻尖
HP:0000452	Choanal stenosis	鼻后孔狭窄
HP:0000453	Choanal atresia	鼻后孔闭锁
HP:0000454	Flared nostrils	喇叭状鼻孔
HP:0000455	Broad nasal tip	宽鼻尖
HP:0000456	Bifid nasal tip	双歧鼻尖
HP:0000457	Depressed nasal ridge	鼻嵴凹陷
HP:0000458	Anosmia	嗅觉丧失
HP:0000460	Narrow nose	鼻子狭窄
HP:0000463	Anteverted nares	鼻孔前翻
HP:0000464	Abnormality of the neck	颈部异常
HP:0000465	Webbed neck	颈蹼
HP:0000466	Limited neck range of motion	颈部运动范围受限
HP:0000467	Neck muscle weakness	颈肌无力
HP:0000468	Increased adipose tissue around the neck	颈周脂肪组织增多
HP:0000470	Short neck	短颈
HP:0000471	Gastrointestinal angiodysplasia	胃肠道血管发育不良
HP:0000472	Long neck	长颈
HP:0000473	Torticollis	斜颈
HP:0000474	Thickened nuchal skin fold	颈部皮肤皱褶冗赘
HP:0000475	Broad neck	宽颈
HP:0000476	Cystic hygroma	囊状水瘤
HP:0000478	Abnormality of the eye	眼部异常
HP:0000479	Abnormality of the retina	视网膜的异常
HP:0000480	Retinal coloboma	视网膜缺损
HP:0000481	Abnormality of the cornea	角膜异常
HP:0000482	Microcornea	小角膜
HP:0000483	Astigmatism	散光
HP:0000484	Hyperopic astigmatism	远视散光
HP:0000485	Megalocornea	巨角膜
HP:0000486	Strabismus	斜视
HP:0000487	Congenital strabismus	先天性斜视
HP:0000488	Retinopathy	视网膜病变
HP:0000490	Deeply set eye	眼睛深陷
HP:0000491	Keratitis	角膜炎
HP:0000492	Abnormality of the eyelid	眼睑异常
HP:0000493	Abnormality of the fovea	黄斑中心凹异常
HP:0000494	Downslanted palpebral fissures	下斜睑裂
HP:0000495	Recurrent corneal erosions	复发性角膜糜烂
HP:0000496	Abnormality of eye movement	眼球运动异常
HP:0000497	Globe retraction and deviation on abduction	外展时眼球回缩和偏斜
HP:0000498	Blepharitis	眼睑炎
HP:0000499	Abnormality of the eyelashes	睫毛异常
HP:0000501	Glaucoma	青光眼
HP:0000502	Abnormality of the conjunctiva	结膜异常
HP:0000503	Tortuosity of conjunctival vessels	结膜血管迂曲
HP:0000504	Abnormality of vision	视力异常
HP:0000505	Visual impairment	视觉障碍
HP:0000506	Telecanthus	内眦距过宽
HP:0000508	Ptosis	上睑下垂
HP:0000509	Conjunctivitis	结膜炎
HP:0000510	Retinitis pigmentosa	视网膜色素变性
HP:0000511	Vertical supranuclear gaze palsy	垂直性核上性凝视麻痹
HP:0000512	Abnormal electroretinogram	视网膜电流图异常
HP:0000514	Slow saccadic eye movements	慢眼跳
HP:0000517	Abnormality of the lens	晶状体异常
HP:0000518	Cataract	白内障
HP:0000519	Congenital cataract	先天性白内障
HP:0000520	Proptosis	眼球突出
HP:0000522	Alacrima	无泪
HP:0000523	Subcapsular cataract	囊下白内障
HP:0000524	Conjunctival telangiectasia	结膜毛细血管扩张
HP:0000525	Abnormality of the iris	虹膜异常
HP:0000526	Aniridia	无虹膜
HP:0000527	Long eyelashes	长睫毛
HP:0000528	Anophthalmia	无眼畸形
HP:0000529	Progressive visual loss	进行性视力下降
HP:0000531	Corneal crystals	角膜结晶
HP:0000532	Chorioretinal abnormality	脉络膜视网膜异常
HP:0000533	Chorioretinal atrophy	脉络膜视网膜萎缩
HP:0000534	Abnormality of the eyebrow	眉毛异常
HP:0000535	Sparse eyebrow	眉毛稀疏
HP:0000537	Epicanthus inversus	下内眦赘皮
HP:0000538	Pseudopapilledema	假性视乳头水肿
HP:0000539	Abnormality of refraction	屈光异常
HP:0000540	Hypermetropia	远视
HP:0000541	Retinal detachment	视网膜脱离
HP:0000542	Impaired ocular adduction	眼内收障碍
HP:0000543	Optic disc pallor	视盘苍白
HP:0000544	External ophthalmoplegia	眼外肌麻痹
HP:0000545	Myopia	近视
HP:0000546	Retinal degeneration	视网膜变性
HP:0000547	Tapetoretinal degeneration	毯层状视网膜变性
HP:0000548	Cone-rod dystrophy	锥杆营养不良
HP:0000549	Abnormal conjugate eye movement	眼球共轭运动异常
HP:0000550	Abolished electroretinogram (ERG)	视网膜电流图检测不到波形
HP:0000551	Abnormality of color vision	色觉障碍
HP:0000552	Tritanomaly	蓝色弱
HP:0000553	Abnormality of the uvea	葡萄膜异常
HP:0000554	Uveitis	葡萄膜炎
HP:0000555	Leukocoria	白瞳症
HP:0000556	Retinal dystrophy	视网膜营养不良
HP:0000557	Buphthalmos	先天性开角型青光眼
HP:0000558	Rieger anomaly	Rieger综合征
HP:0000559	Corneal scarring	角膜瘢痕
HP:0000561	Absent eyelashes	睫毛缺失
HP:0000563	Keratoconus	圆锥角膜
HP:0000564	Lacrimal duct atresia	泪道闭锁
HP:0000565	Esotropia	内斜视
HP:0000567	Chorioretinal coloboma	脉络膜视网膜缺损
HP:0000568	Microphthalmos	小眼畸形
HP:0000570	Abnormality of saccadic eye movements	眼球运动异常
HP:0000571	Hypometric saccades	长度异常性扫视
HP:0000572	Visual loss	视力下降
HP:0000573	Retinal hemorrhage	视网膜出血
HP:0000574	Thick eyebrow	眉毛浓密
HP:0000575	Scotoma	盲点
HP:0000576	Centrocecal scotoma	旁中心暗点
HP:0000577	Exotropia	外斜视
HP:0000579	Nasolacrimal duct obstruction	鼻泪管阻塞
HP:0000580	Pigmentary retinopathy	色素性视网膜病
HP:0000581	Blepharophimosis	眼睑裂狭小
HP:0000582	Upslanted palpebral fissure	睑裂上斜
HP:0000584	Punctate corneal epithelial erosions	点状角膜上皮糜烂
HP:0000585	Band keratopathy	带状角膜病
HP:0000586	Shallow orbits	浅眼眶
HP:0000587	Abnormality of the optic nerve	视神经异常
HP:0000588	Optic nerve coloboma	视神经缺损
HP:0000589	Coloboma	眼球缺损
HP:0000590	Progressive external ophthalmoplegia	进行性眼外肌麻痹
HP:0000591	Abnormality of the sclera	巩膜异常
HP:0000592	Blue sclerae	蓝巩膜
HP:0000593	Abnormality of the anterior chamber	前房异常
HP:0000594	Shallow anterior chamber	浅前房
HP:0000597	Ophthalmoparesis	眼肌瘫痪
HP:0000598	Abnormality of the ear	耳部异常
HP:0000600	Abnormality of the pharynx	咽部异常
HP:0000601	Hypotelorism	眼距过窄
HP:0000602	Ophthalmoplegia	眼肌麻痹
HP:0000603	Central scotoma	中心暗点
HP:0000605	Supranuclear gaze palsy	核上性凝视麻痹
HP:0000606	Abnormality of the periorbital region	眼眶周围异常
HP:0000607	Periorbital wrinkles	眶周皱纹
HP:0000608	Macular degeneration	黄斑变性
HP:0000609	Optic nerve hypoplasia	视神经发育不全
HP:0000610	Abnormality of the choroid	脉络膜异常
HP:0000611	Choroid coloboma	脉络膜缺损
HP:0000612	Iris coloboma	虹膜缺损
HP:0000613	Photophobia	畏光
HP:0000614	Abnormality of the nasolacrimal system	鼻泪系统的异常
HP:0000615	Abnormality of the pupil	瞳孔异常
HP:0000616	Miosis	瞳孔缩小
HP:0000617	Abnormality of ocular smooth pursuit	眼部平稳跟踪异常
HP:0000618	Blindness	失明
HP:0000619	Impaired convergence	辐凑受损
HP:0000620	Dacrocystitis	泪囊炎
HP:0000621	Entropion	眼睑内翻
HP:0000622	Blurred vision	视力模糊
HP:0000623	Supranuclear ophthalmoplegia	核上性眼肌麻痹
HP:0000625	Cleft eyelid	眼睑裂
HP:0000627	Posterior embryotoxon	后胚胎环
HP:0000629	Periorbital fullness	眶周丰满
HP:0000630	Abnormality of retinal arteries	视网膜动脉异常
HP:0000631	Retinal arterial tortuosity	视网膜动脉迂曲
HP:0000632	Lacrimation abnormality	流泪异常
HP:0000633	Decreased lacrimation	流泪减少
HP:0000634	Impaired ocular abduction	眼外展障碍
HP:0000635	Blue irides	蓝色虹膜
HP:0000636	Upper eyelid coloboma	上眼睑缺损
HP:0000637	Long palpebral fissure	长睑裂
HP:0000639	Nystagmus	眼球震颤
HP:0000640	Gaze-evoked nystagmus	凝视诱发眼震
HP:0000641	Dysmetric saccades	Dysmetric 扫视
HP:0000642	Red-green dyschromatopsia	红绿色觉障碍
HP:0000643	Blepharospasm	眼睑痉挛
HP:0000646	Amblyopia	弱视
HP:0000647	Sclerocornea	角膜巩膜化
HP:0000648	Optic atrophy	视神经萎缩
HP:0000649	Abnormality of vision evoked potentials	视觉诱发电位异常
HP:0000650	Reduced amplitude of pattern visual evoked potentials	多导视觉诱发电位振幅降低
HP:0000651	Diplopia	复视
HP:0000652	Lower eyelid coloboma	下眼睑缺损
HP:0000653	Sparse eyelashes	睫毛稀疏
HP:0000654	Decreased electroretinogram (ERG) amplitude	视网膜电图振幅降低
HP:0000655	Vitreoretinal degeneration	玻璃体视网膜变性
HP:0000656	Ectropion	眼睑外翻
HP:0000657	Oculomotor apraxia	动眼运动异常
HP:0000658	Eyelid apraxia	眼睑失用症
HP:0000659	Peters anomaly	Peters 综合征
HP:0000660	Lipemia retinalis	视网膜脂血症
HP:0000661	Palpebral fissure narrowing on adduction	睑裂内收狭窄
HP:0000662	Night blindness	夜盲症
HP:0000664	Synophrys	连眉
HP:0000666	Horizontal nystagmus	水平眼震
HP:0000667	Phthisis bulbi	眼球痨
HP:0000668	Hypodontia	缺牙症
HP:0000670	Carious teeth	龋齿
HP:0000674	Anodontia	无牙畸形
HP:0000675	Macrodontia of permanent maxillary central incisor	恒上颌中门巨牙
HP:0000676	Abnormality of the incisor	切牙异常
HP:0000677	Oligodontia	少牙畸形
HP:0000678	Dental crowding	牙齿排列过挤
HP:0000679	Taurodontia	牙髓腔增大
HP:0000680	Delayed eruption of primary teeth	乳牙萌出延迟
HP:0000682	Abnormality of dental enamel	牙釉质异常
HP:0000683	Grayish enamel	灰色牙釉质
HP:0000684	Delayed eruption of teeth	牙齿萌出延迟
HP:0000685	Hypoplasia of teeth	牙齿发育不全
HP:0000687	Widely spaced teeth	牙间隙增宽
HP:0000689	Dental malocclusion	牙齿错位咬合
HP:0000690	Agenesis of maxillary lateral incisor	上颌侧切牙发育不全
HP:0000691	Microdontia	小牙畸形
HP:0000692	Misalignment of teeth	牙列不齐
HP:0000694	Shell teeth	壳状牙
HP:0000695	Natal tooth	胎生牙齿
HP:0000696	Delayed eruption of permanent teeth	恒牙萌出延迟
HP:0000698	Conical tooth	圆锥形齿
HP:0000699	Diastema	牙间隙增大
HP:0000700	Periapical radiolucency	牙根尖周射线可透
HP:0000703	Dentinogenesis imperfecta	牙本质发育不全
HP:0000704	Periodontitis	牙周炎
HP:0000705	Amelogenesis imperfecta	牙釉质生长不全
HP:0000706	Unerupted tooth	埋伏牙
HP:0000707	Abnormality of the nervous system	神经系统异常
HP:0000708	Behavioral abnormality	行为异常
HP:0000709	Psychosis	精神病
HP:0000710	Hyperorality	口欲亢进
HP:0000711	Restlessness	躁动
HP:0000712	Emotional lability	情绪不稳
HP:0000713	Agitation	易激惹
HP:0000716	Depression	抑郁
HP:0000717	Autism	孤独症
HP:0000718	Aggressive behavior	攻击性行为
